Plot	Plot_bexis	exploratory	habitat	Root_decomposition	Nmic	PNR_2014	PNR_2016	average_PNR	Ammonium_NH4_2014	Ammonium_NH4_2016	MinSoil_Ammonium_NH4_2017	average_NH4	Nitrate_NO3_2014	Nitrate_NO3_2016	MinSoil_Nitrate_NO3_2017	average_NO3	CN_ratio_MinSoil_2011	CN_ratio_MinSoil_2014	CN_ratio_MinSoil_2017	CN_ratio_MinSoil_2021	average_CN_MinSoil	amoA_AOA	amoA_AOB	nxrA_NB	X16S_NS	CN_ratio_OrgLay_2011	CN_ratio_OrgLay_2014	CN_ratio_OrgLay_2017	average_CN_OrgLay	forest_soilNitrateflxs	forest_soilAmmoniaflxs	OlsenPi_2014	NaHCO3_Pi	Pmic	OlsenPi_2021	Upper_MinSoil_CP_ratio	Upper_MinSoil_PS_ratio	OrgLay_orthophosphate	MinSoil_orthophosphate	P_loss	average_OlsenPi	Upper_MinSoil_CS_ratio	O_Horizon_CS_ratio_2014	O_Horizon_CS_ratio_2017	average_O_Horizon_CS_ratio	dung_removal	dung_depletion	hydrophobicity	Cmic	Glu	N_Ac	Xyl	soilCflxs	Organic_layer_thickness	OC_stock_MinSoil_2011	OC_stock_MinSoil_2014	OC_stock_MinSoil_2017	OC_stock_MinSoil_2021	average_OC_stock_MinSoil	Pho_2011	Pho_2014	average_Pho	seed_depletion	Fine_Roots_Biomass	Coarse_Roots_Biomass	Root_Biomass	Browsing_perc_overall	Browsing_perc_broadleaf	Browsing_perc_conifers	Beech_herbivory_canopy_overall	Beech_herbivory_understory_overall	Beech_herbivory_canopy_mining	Beech_herbivory_understory_mining	Beech_herbivory_canopy_chewing	Beech_herbivory_understory_chewing	Beech_herbivory_canopy_sucking	Beech_herbivory_understory_sucking	Beech_herbivory_canopy_galls	Beech_herbivory_understory_galls	Cryptococcus_infestation	chewing_damage	scraping_sucking_damage	mining_damage	gall_damage	total_damaged_area	Fine_Roots_Carbon	Fine_Roots_Nitrogen	Fine_roots_CN_ratio	Soil_respiration_2011	Soil_respiration_2017	Annual_Leaching_P	Annual_Leaching_NH4	Annual_Leaching_NO3	Soil_respiration_2018	Soil_respiration_2019	average_Soil_respiration	Methane_oxidation	Total_litter_C_2015	Total_litter_C_2016	Total_litter_C_2017	Total_litter_C_2018	Total_litter_N_2015	Total_litter_N_2016	Total_litter_N_2017	Total_litter_N_2018	average_Total_litter_C	average_Total_litter_N	caterpillars_predation	OrgLay_waterholding	MinSoil_waterholding	MinSoil_Bulk_density_2011	Barkbeetle_antagonist_ratio
AEW01	AEW1	ALB	forest	8.1	25.3055630981734	NA	NA	NA	NA	1.185991103	95.02	1.10537818785682	0.004	0.011269953	69.03	0.366937926653818	15.35	15.82	16.2	16.26	16.0933333333333	369000000	1050000	1430000	11900000	26.9866666666667	26.4433333333333	24.5566666666667	25.9955555555556	-0.446902779325791	2.78943111382364	16.51	77.1526836894216	14.03	19.03	81.5	1.6	0.14	0.28	36.6776161914401	17.77	133.9	330.496666666667	281.963333333333	306.23	1.07794961965243	0.822	0.18	285.243427731864	189.978921228183	227.264288270129	159.908368406477	-0.537065736062547	1.34285714285714	58.29	72.39	72.41	65.37	67.115	2388.39033758309	5004.42	3696.40516879155	1	0.296	0.066	0.362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.348076115183537	0.230895807178801	0.0734201548499296	0.0423828191725482	0.379998011563786	441.621056313667	11.6246079930018	40.71	39.246	1.73835552266722	0.245	7.925	7.978	1.52	1.95	0.78415464938381	1.6923628975	NA	NA	499.203333333333	491.67	NA	NA	10.7933333333333	10.97	495.436666666667	10.8816666666667	0.916	0.91	0.68	0.94	0.042005420054201
AEW02	AEW2	ALB	forest	10.3	48.7699096666954	NA	NA	NA	NA	1.987435295	30.33	0.352832250449352	0.019	0.013367561	139.55	0.605954461305874	13.91	13.88	13.85	14.26	13.9966666666667	2410000	101000000	1270000	7.2e+07	30.4	24.4266666666667	24.24	26.3555555555556	0.0244506622481747	0.254595386789616	2.7	18.6650057095401	29.51	3.19	88.3	1.4	0.14	0.04	44.0321646341399	2.945	123.8	321.006666666667	290.056666666667	305.531666666667	1.27985733399459	0.76	0.1	534.662093743235	423.797227405559	510.498346884887	202.829562099423	0.0368978857968088	1.73571428571429	55.34	57.05	52.88	60.89	56.54	3939.93507222543	7788.33	5864.13253611271	0.936	5.936	0.186	6.122	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.107931118598311	0.138909902139925	0.0588402316643356	0	0.174368532187984	450.789204816681	10.4981280556828	44.28	57.67883	2.28752296942989	0	4.013	67.54	1.68	2.2	0.982051849291914	0.5217381285	NA	NA	486.87	492.15	NA	NA	11.0666666666667	11.66	489.51	11.3633333333333	0.8	0.91	0.72	0.81	0.025768087215064
AEW03	AEW3	ALB	forest	7.6	107.677219382431	12.963	12.96259511	12.962797555	0.013	0.404450187	38.89	0.152623268229583	0.007	0.026913033	145.34	0.823843955981146	14.18	13.68	13.58	13.93	13.73	11900000	26600000	1250000	1.17e+08	37.33	24.6633333333333	24.2633333333333	28.7522222222222	0.378162337289833	-0.362477021857918	3.56	4.47884416924665	54.86	3.47	82.8	1.4	0.18	0.06	43.9001787319353	3.515	118.4	340.56	284.52	312.54	0.872391147340309	0.802	0.11	803.624125007893	609.018385957051	819.238641093164	176.294127733992	0.345727026818753	0.85	71.21	68.22	63.46	72.99	68.97	4431.83815088905	7197.43	5814.63407544452	0.808	2.786	0.326	3.112	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.274256506672994	0.15051640094126	0.0667335510955926	0.0087916143760332	0.272778171774127	420.753512070736	10.9221462331934	54.49	105.97664	2.37030084924492	0	4.605	23.555	1.88	2.65	1.29412761683289	0.6288017685	NA	NA	487.505	481.45	NA	NA	10.505	12.72	484.4775	11.6125	0.78	0.92	0.76	0.75	0.029973848320257
AEW04	AEW4	ALB	forest	12.6	127.499954863215	8.629	8.628696986	8.628848493	0.021	0.213606456	23.63	0.0945691268664022	0.019	0.020545292	127.93	0.701375303522654	12.75	12.84	12.25	12.57	12.5533333333333	496000000	14300000	413000	3.74e+08	28.94	27.44	26.2333333333333	27.5377777777778	2.39256526778552	4.1227296088601	20.39	28.3752860411899	53.48	12.11	41.4	2.5	0.35	0.31	27.0431096939384	16.25	101.7	356.48	311.233333333333	333.856666666667	0.365390202537173	0.028	0.13	837.703838979524	1076.09848161201	982.686007639078	193.645400551759	0.842322865200254	1.63571428571429	73.8	80.03	73.51	82.36	77.425	3370.2506484996	5145.5	4257.8753242498	0.76	0.836	NA	0.836	NA	NA	NA	94.8	75	39.6	0	91.6	31.25	7.4	25	2	0	1	0.260391869706178	0.148464235755129	0.123575806019912	0.13376777682372	0.307072768859365	413.862730436597	16.213483064357	26.03	77.24497	1.45880392200772	0	5.8	2.79	1.62	1.48	0.891227938836578	0.902316482	NA	NA	489.176666666667	482.635	NA	NA	12.3633333333333	10.91	485.905833333333	11.6366666666667	0.36	0.85	0.67	0.61	0.043263964950712
AEW05	AEW5	ALB	forest	8.3	65.9910979195275	9.486	9.485632541	9.4858162705	0.15	0.819618384	81.71	0.337839952682875	0.008	0.015488241	73.5	0.459295733836091	12.98	12.78	12.86	13.15	12.93	1450000	5430000	213000	1.05e+08	47.875	28.7733333333333	25.1033333333333	33.9172222222222	0.275642570559773	-0.663075228011592	3.37	7.33727810650888	40.56	2.66	82.8	1.4	0.13	0.05	44.6792224687248	3.015	116.3	380.52	296.75	338.635	0.0155485540754186	0.412	0.13	622.597369614513	904.006535010625	514.145246385632	247.796207111112	0.489392652494992	1.10714285714286	49.81	48.37	46.11	50.81	48.775	4401.07832534244	6982.27	5691.67416267122	1	1.756	0.426	2.182	11.85	11.85	NA	91.6	76.3672438672439	30.4	3.85714285714286	87.6	38.0530303030303	3	31.3486652236652	1.2	2.73214285714286	2	0.345325199551017	0.150718958557355	0.150775691432976	0.259266899184328	0.370120838950836	377.596900568217	11.0247958435492	37.48	53.46443	2.52475649407011	0	3.793	3.82	3.34	2.5	1.21869858664463	0.6275547985	NA	NA	489.096666666667	473.495	NA	NA	10.0666666666667	11.29	481.295833333333	10.6783333333333	0.774	0.97	0.71	0.83	0.00982800982801
AEW06	AEW6	ALB	forest	9.5	82.386720171839	3.262	3.261972473	3.2619862365	0.153	0.750269376	39.26	0.173651290748959	0.003	0.021043179	97.02	0.598796100080272	12.32	12.77	12.63	12.38	12.5933333333333	1350000	3330000	75000	44100000	29.645	29.6133333333333	24.5966666666667	27.9516666666667	-0.20434527339738	-0.683989714208243	3.03	1.03387180823346	27.99	3.35	72.7	1.5	0.21	0.05	44.7406375976345	3.19	111.8	414.866666666667	307.936666666667	361.401666666667	0.890585688612312	0.542	0.11	562.435608623549	663.554822506978	312.504860095205	152.137349112335	-0.207599758354015	1.53571428571429	40.77	44.22	47.51	46.77	44.8175	3385.37265808609	5321.5	4353.43632904304	1	3.646	0.054	3.7	11.99	11.99	NA	97.2	85.2173913043478	26.4	0	94.4	22.8491436100132	6.8	40.8739569609135	3.4	6.24654934437543	1	0.267257609970384	0.159910107187025	0.197539896592068	0.088089214383693	0.31551780145621	407.51521705531	8.0939312701691	41	41.49358	1.74239000984819	0	3.058	4.123	1.85	1.6	0.795272785784602	0.462281801	NA	NA	492.133333333333	476.06	NA	NA	11.0666666666667	10.865	484.096666666667	10.9658333333333	0.74	0.88	0.69	NA	0.105394783851375
AEW07	AEW7	ALB	forest	13.6	84.1375030957704	2.915	2.914966927	2.9149834635	NA	1.001268361	156.32	1.8184878796651	NA	0.022927633	285.18	1.60788197551337	13.05	13.37	12.89	13.16	13.14	14400000	28000000	5e+05	38700000	28.625	26.6333333333333	22.1333333333333	25.7972222222222	-0.24346745177293	-0.325401341782038	3.48	0	34.15	4.49	81.8	1.4	0.24	0.07	44.4638571772327	3.985	116.6	365.103333333333	271.71	318.406666666667	0.347903469875921	0.288	0.15	595.195267878788	701.221488970019	728.358837760137	161.875101661237	0.2564573034949	1.64285714285714	64.68	67.37	62.5	62	64.1375	5425.26573974919	9637.52	7531.39286987459	1	0.436	NA	0.436	0	0	0	84.8	65.6042291042291	30.4	0.416666666666667	76	49.0149433899434	2.2	4.45833333333333	3.4	7.29761904761905	1	0.164836284490628	0.0266155530254436	0.161033978611799	0	0.159263418475698	452.401362670701	10.9852615196675	40.8	69.04028	2.50704601872945	0	10.847	29.977	2.06	1.49	1.02731658874185	0.7176746025	NA	NA	490.5	482.575	NA	NA	12.1	13.785	486.5375	12.9425	0.4	0.81	0.61	0.61	0.016230838593327
AEW08	AEW8	ALB	forest	9.3	52.592532870694	3.379	3.379496165	3.3792480825	NA	1.428462777	113.67	1.32233570420632	0.005	0.015032158	103.07	0.514816821558948	14.11	14.12	14.11	14.17	14.1333333333333	1620000	2800000	18400	5230000	29.0666666666667	27.2833333333333	26.65	27.6666666666667	-0.510454497267469	-0.686461426213301	2.64	2.44094488188976	42.92	1.95	83.2	1.4	0.12	0.03	44.1434628111893	2.295	119.4	376.436666666667	318.973333333333	347.705	0.242895820478739	0.194	0.11	539.258229170234	970.612356524042	1059.48742044277	196.322442371	0.865890983814774	2.59285714285714	63.6	57.74	58.89	66.16	61.5975	5691.64726386597	9175.92	7433.78363193299	1	5.136	0.206	5.342	0	0	NA	91.2	46.0218253968254	26	0	88	28.3551587301587	5.4	6.25	1.8	5.02380952380952	2	0.261391754869465	0.206601660763872	0.0862822884263529	0.459134217428084	0.322753499308684	445.352576915163	11.7624200945132	47.47	82.22613	1.97839331037045	0.3	20.47	20.615	1.88	1.76	1.03706455109845	0.148913493	NA	NA	487.373333333333	475.17	NA	NA	9.14	10.805	481.271666666667	9.9725	0.54	0.92	0.69	NA	0.01932150078634
AEW09	AEW9	ALB	forest	11.4	75.8616193367042	2.902	2.901765438	2.901882719	0.623	1.746318173	46.72	0.26835637336903	NA	0.041936319	103.59	1.44848083560638	14.29	14.62	14.2	14.16	14.3266666666667	35800000	15400000	179000	41800000	33.58	28.37	23.7	28.55	-0.221614078163753	-0.241743396995436	3.72	0.901069241150213	58.43	2.27	111.5	1.1	0.17	0.03	44.4183115714679	2.995	127.8	375.903333333333	287.97	331.936666666667	0.389245655543574	0.185	0.12	619.925333333334	1106.70362487257	1098.61242546859	235.084135448455	1.1293034566457	3.28571428571429	60.17	72.7	60.59	59.01	63.1175	6167.89123085025	6600.32	6384.10561542513	0.68	4.776	0.656	5.432	14.29	14.29	NA	97.6	68.1783910533911	32.4	0	94.8	50.3537157287157	4.4	13.0820707070707	4.4	1.42361111111111	1	0.192356996422726	0.281740056604704	0.0996343664086085	0.200519182791665	0.293296746810406	455.875178953823	11.316448074252	45.76	83.12251	2.30536490160145	0	3.343	11.17	2.06	1.8	1.1050263174068	0.3417384465	NA	NA	491.023333333333	479.235	NA	NA	10.7733333333333	13.61	485.129166666667	12.1916666666667	0.66	0.9	0.69	0.73	0.018212317277738
AEW10	AEW10	ALB	forest	9.4	71.7963736400596	21.127	21.12714874	21.12707437	NA	0.954956946	45.96	0.53465777219427	NA	0.013976381	73.89	0.623290357006732	13.49	13.31	12.46	13.09	12.9533333333333	3750000	80000000	1140000	43700000	24.53	24.55	24.79	24.6233333333333	-0.199115876689894	0.0676959328686408	2.87	13.8357894736842	31.41	3.8	74.3	1.5	0.22	0.05	44.0925993364931	3.335	111.4	298.376666666667	297.306666666667	297.841666666667	0.745295217411302	0.55	0.11	558.612632248332	707.868140430639	522.46444648713	305.762952615285	0.60176450854619	2.14285714285714	59.44	56.72	47.02	54.85	54.5075	9101.04139428974	8052.31	8576.67569714487	0.616	1.226	0.076	1.302	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.243121769593339	0.0729167214159609	0.117855046521629	NA	0.31906573294776	482.907757584924	8.74454131267391	46.63	82.95609	1.84072068582772	0	4.313	58.19	1.42	1.83	0.978060555716718	0.680645883	495.485	499.423333333333	493.736666666667	492.61	10.585	11.2833333333333	10.6433333333333	12.6	495.31375	11.2779166666667	0.6	0.83	0.74	0.96	0.020211742059673
