Plot	Plot_bexis	exploratory	habitat	root_decomposition	dung_removal	seed_depletion	browsing_percentage	insect_herbivory	caterpillars_predation	barkbeetle_predation	soil_beta_glucosidase	soil_Nacetyl_glucosaminidase	soil_xylanase	soil_carbon_fluxes	soil_respiration_2011	soil_respiration_2017	soil_respiration_2018	soil_respiration_2019	average_soil_respiration	soil_methane_oxidation	microbial_C	fine_roots_C	litter_C_2015	litter_C_2016	litter_C_2017	litter_C_2018	average_litter_C	soil_org_C_2011	soil_org_C_2014	average_soil_org_C	soil_potential_nitrification_2014	soil_potential_nitrification_2016	average_soil_potential_nitrification	ammonia_oxidizing_archaea	ammonia_oxidizing_bacteria	nitrite_oxidizing_nitrobacter	nitrite_oxidizing_nitrospira	forest_soil_nitrite_fluxes	forest_soil_ammonia_fluxes	soil_N_retention	microbial_N	fine_roots_N	litter_N_2015	litter_N_2016	litter_N_2017	litter_N_2018	average_litter_N	soil_N_2011	soil_N_2014	average_soil_N	soil_phosphatase_2011	soil_phosphatase_2014	average_soil_phosphatase	soil_P_retention_2011	soil_P_retention_2018	average_soil_P_retention	soil_P_soluble	soil_org_P_soluble	microbial_P	soil_olsenP_2014	soil_olsenP_2021	average_soil_olsenP	root_biomass_2011	root_biomass_2014	root_biomass_2017	average_root_biomass	litter_biomass_2015	litter_biomass_2016	litter_biomass_2017	litter_biomass_2018	litter_biomass_2019	litter_biomass_2020	litter_biomass_2021	average_litter_biomass
AEW01	AEW1	ALB	forest	8.1	1.07794961965243	100	NA	1.30838807010337	0.916	0.042005420054201	189.978921228183	227.264288270129	159.908368406477	-0.537065736062547	39.246	1.73835552266722	1.52	1.95	0.78415464938381	1.6923628975	285.243427731864	441.621056313667	NA	NA	499.203333333333	491.67	495.436666666667	4.01	2.95	3.48	NA	NA	NA	369000000	1050000	1430000	11900000	0.104823846783133	3.51791164412294	0.0628812173803685	25.3055630981734	11.6246079930018	NA	NA	10.7933333333333	10.97	10.8816666666667	0.26	0.23	0.245	2388.39033758309	5004.42	3696.40516879155	0.110899452814909	0.245	0.221679774005573	0.28	0.14	14.03	16.51	19.03	17.77	0.362	29.1	56.92	0.383367955128348	NA	NA	478.86	508.56	817.44	NA	192.51	499.3425
AEW02	AEW2	ALB	forest	10.3	1.27985733399459	93.6	0	1.43241438740765	0.8	0.025768087215064	423.797227405559	510.498346884887	202.829562099423	0.0368978857968088	57.67883	2.28752296942989	1.68	2.2	0.982051849291914	0.5217381285	534.662093743235	450.789204816681	NA	NA	486.87	492.15	489.51	4.29	3.18	3.735	NA	NA	NA	2410000	101000000	1270000	7.2e+07	0.576177288357098	0.983075917088915	0.0139756544100177	48.7699096666954	10.4981280556828	NA	NA	11.0666666666667	11.66	11.3633333333333	0.31	0.25	0.28	3939.93507222543	7788.33	5864.13253611271	0.601457234550396	0	0.571322546080153	0.04	0.14	29.51	2.7	3.19	2.945	6.122	55.3	70.33	0.836362071189188	NA	NA	468.1	420.29	853.91	NA	155.75	474.5125
AEW03	AEW3	ALB	forest	7.6	0.872391147340309	80.8	0	1.14193054356267	0.78	0.029973848320257	609.018385957051	819.238641093164	176.294127733992	0.345727026818753	105.97664	2.37030084924492	1.88	2.65	1.29412761683289	0.6288017685	803.624125007893	420.753512070736	NA	NA	487.505	481.45	484.4775	4.92	4.26	4.59	12.963	12.96259511	12.962797555	11900000	26600000	1250000	1.17e+08	0.929888963398756	0.366003508441381	0.0355113636363636	107.677219382431	10.9221462331934	NA	NA	10.505	12.72	11.6125	0.35	0.32	0.335	4431.83815088905	7197.43	5814.63407544452	0.557222734254991	0	0.529304317881026	0.06	0.18	54.86	3.56	3.47	3.515	3.112	58.2	51.91	0.633349885253917	NA	NA	NA	546.13	922.5	NA	284.72	584.45
AEW04	AEW4	ALB	forest	12.6	0.365390202537173	76	NA	3.3088245353836	0.36	0.043263964950712	1076.09848161201	982.686007639078	193.645400551759	0.842322865200254	77.24497	1.45880392200772	1.62	1.48	0.891227938836578	0.902316482	837.703838979524	413.862730436597	NA	NA	489.176666666667	482.635	485.905833333333	4.15	3.22	3.685	8.629	8.628696986	8.628848493	496000000	14300000	413000	3.74e+08	2.94429189389445	4.8512101391594	0.116414435389988	127.499954863215	16.213483064357	NA	NA	12.3633333333333	10.91	11.6366666666667	0.33	0.23	0.28	3370.2506484996	5145.5	4257.8753242498	0.0536144631571938	0	0.0509282287053808	0.31	0.35	53.48	20.39	12.11	16.25	0.836	101.2	68.66	0.797174410736019	NA	NA	466.03	402.38	771.79	NA	18.13	414.5825
AEW05	AEW5	ALB	forest	8.3	0.0155485540754186	100	11.85	5.65141734085106	0.774	0.00982800982801	904.006535010625	514.145246385632	247.796207111112	0.489392652494992	53.46443	2.52475649407011	3.34	2.5	1.21869858664463	0.6275547985	622.597369614513	377.596900568217	NA	NA	489.096666666667	473.495	481.295833333333	3.51	5.24	4.375	9.486	9.485632541	9.4858162705	1450000	5430000	213000	1.05e+08	0.827369196668696	0.0654053022877066	0.131354262445816	65.9910979195275	11.0247958435492	NA	NA	10.0666666666667	11.29	10.6783333333333	0.27	0.36	0.315	4401.07832534244	6982.27	5691.67416267122	0.984667965830913	0	0.935333348683737	0.05	0.13	40.56	3.37	2.66	3.015	2.182	92.1	81.09	0.867416499317311	NA	NA	486.58	616.28	806	NA	219.09	531.9875
AEW06	AEW6	ALB	forest	9.5	0.890585688612312	100	11.99	5.1027324910737	0.74	0.105394783851375	663.554822506978	312.504860095205	152.137349112335	-0.207599758354015	41.49358	1.74239000984819	1.85	1.6	0.795272785784602	0.462281801	562.435608623549	407.51521705531	NA	NA	492.133333333333	476.06	484.096666666667	NA	4.19	4.19	3.262	3.261972473	3.2619862365	1350000	3330000	75000	44100000	0.347381352711544	0.0444908160910562	0.139256370978972	82.386720171839	8.0939312701691	NA	NA	11.0666666666667	10.865	10.9658333333333	NA	0.31	0.31	3385.37265808609	5321.5	4353.43632904304	1.04804704962426	0	0.995536963240159	0.05	0.21	27.99	3.03	3.35	3.19	3.7	88	64.5	0.85393292295413	NA	NA	565.96	519.82	923.08	NA	185.41	548.5675
AEW07	AEW7	ALB	forest	13.6	0.347903469875921	100	0	3.62030297700093	0.4	0.016230838593327	701.221488970019	728.358837760137	161.875101661237	0.2564573034949	69.04028	2.50704601872945	2.06	1.49	1.02731658874185	0.7176746025	595.195267878788	452.401362670701	NA	NA	490.5	482.575	486.5375	2.93	2.97	2.95	2.915	2.914966927	2.9149834635	14400000	28000000	5e+05	38700000	0.308259174335994	0.403079188517261	0.0244953948657652	84.1375030957704	10.9852615196675	NA	NA	12.1	13.785	12.9425	0.22	0.2	0.21	5425.26573974919	9637.52	7531.39286987459	0.812389883433067	0	0.771686879715881	0.07	0.24	34.15	3.48	4.49	3.985	0.436	72.2	132.46	0.894189986350585	NA	NA	610.75	550.61	965.17	NA	190.55	579.27
AEW08	AEW8	ALB	forest	9.3	0.242895820478739	100	0	4.96627018977195	0.54	0.01932150078634	970.612356524042	1059.48742044277	196.322442371	0.865890983814774	82.22613	1.97839331037045	1.88	1.76	1.03706455109845	0.148913493	539.258229170234	445.352576915163	NA	NA	487.373333333333	475.17	481.271666666667	NA	4.56	4.56	3.379	3.379496165	3.3792480825	1620000	2800000	18400	5230000	0.0412721288414548	0.0420191040859975	0.024339783375928	52.592532870694	11.7624200945132	NA	NA	9.14	10.805	9.9725	NA	0.34	0.34	5691.64726386597	9175.92	7433.78363193299	0.644607999066333	0.3	0.754764431055503	0.03	0.12	42.92	2.64	1.95	2.295	5.342	110.7	69.47	1.06039685745127	NA	NA	538.12	481.86	876.75	NA	128.55	506.32
AEW09	AEW9	ALB	forest	11.4	0.389245655543574	68	14.29	3.29105144048236	0.66	0.018212317277738	1106.70362487257	1098.61242546859	235.084135448455	1.1293034566457	83.12251	2.30536490160145	2.06	1.8	1.1050263174068	0.3417384465	619.925333333334	455.875178953823	NA	NA	491.023333333333	479.235	485.129166666667	3.63	2.04	2.835	2.902	2.901765438	2.901882719	35800000	15400000	179000	41800000	0.33011254794517	0.486737133303863	0.068903741473162	75.8616193367042	11.316448074252	NA	NA	10.7733333333333	13.61	12.1916666666667	0.25	0.14	0.195	6167.89123085025	6600.32	6384.10561542513	0.783403341414913	0	0.744152644467633	0.03	0.17	58.43	3.72	2.27	2.995	5.432	173	98.79	1.47925500054108	NA	NA	567.3	697.29	936.69	NA	206.25	601.8825
AEW10	AEW10	ALB	forest	9.4	0.745295217411302	61.6	0	0.32853416354259	0.6	0.020211742059673	707.868140430639	522.46444648713	305.762952615285	0.60176450854619	82.95609	1.84072068582772	1.42	1.83	0.978060555716718	0.680645883	558.612632248332	482.907757584924	495.485	499.423333333333	493.736666666667	492.61	495.31375	3.88	3.67	3.775	21.127	21.12714874	21.12707437	3750000	80000000	1140000	43700000	0.352610749419029	0.79617646316794	0.0159992320368622	71.7963736400596	8.74454131267391	10.585	11.2833333333333	10.6433333333333	12.6	11.2779166666667	0.29	0.27	0.28	9101.04139428974	8052.31	8576.67569714487	0.624144182113706	0	0.592872814162548	0.05	0.22	31.41	2.87	3.8	3.335	1.302	109.6	60.39	0.826491404772692	387.84	373.67	619.49	492.82	824.13	NA	209.47	484.57
