Plot	Plot_bexis	exploratory	habitat	Root_decomposition
AEW01	AEW1	ALB	forest	8.1
AEW02	AEW2	ALB	forest	10.3
AEW03	AEW3	ALB	forest	7.6
AEW04	AEW4	ALB	forest	12.6
AEW05	AEW5	ALB	forest	8.3
AEW06	AEW6	ALB	forest	9.5
AEW07	AEW7	ALB	forest	13.6
AEW08	AEW8	ALB	forest	9.3
AEW09	AEW9	ALB	forest	11.4
AEW10	AEW10	ALB	forest	9.4
AEW11	AEW11	ALB	forest	7.5
AEW12	AEW12	ALB	forest	9
AEW13	AEW13	ALB	forest	12
AEW14	AEW14	ALB	forest	10.8
AEW15	AEW15	ALB	forest	15.7
AEW16	AEW16	ALB	forest	13.8
AEW17	AEW17	ALB	forest	13
AEW18	AEW18	ALB	forest	7.7
AEW19	AEW19	ALB	forest	17
AEW20	AEW20	ALB	forest	10.3
AEW21	AEW21	ALB	forest	11.4
AEW22	AEW22	ALB	forest	11.8
AEW23	AEW23	ALB	forest	14.5
AEW24	AEW24	ALB	forest	8.8
AEW25	AEW25	ALB	forest	12.4
AEW26	AEW26	ALB	forest	8.7
AEW27	AEW27	ALB	forest	11.7
AEW28	AEW28	ALB	forest	6.3
AEW29	AEW29	ALB	forest	8.8
AEW30	AEW30	ALB	forest	10.5
AEW31	AEW31	ALB	forest	9.3
AEW32	AEW32	ALB	forest	12.7
AEW33	AEW33	ALB	forest	11.9
AEW34	AEW34	ALB	forest	12.1
AEW35	AEW35	ALB	forest	9.3
AEW36	AEW36	ALB	forest	22.6
AEW37	AEW37	ALB	forest	12.5
AEW38	AEW38	ALB	forest	10.6
AEW39	AEW39	ALB	forest	11
AEW40	AEW40	ALB	forest	12.1
AEW41	AEW41	ALB	forest	9.3
AEW42	AEW42	ALB	forest	11.1
AEW43	AEW43	ALB	forest	10.2
AEW44	AEW44	ALB	forest	11.8
AEW45	AEW45	ALB	forest	12.6
AEW46	AEW46	ALB	forest	7.3
AEW47	AEW47	ALB	forest	13.6
AEW48	AEW48	ALB	forest	12.6
AEW49	AEW49	ALB	forest	NA
AEW50	AEW50	ALB	forest	15.1
HEW01	HEW1	HAI	forest	10
HEW02	HEW2	HAI	forest	7.7
HEW03	HEW3	HAI	forest	4.7
HEW04	HEW4	HAI	forest	10
HEW05	HEW5	HAI	forest	9.3
HEW06	HEW6	HAI	forest	NA
HEW07	HEW7	HAI	forest	8.1
HEW08	HEW8	HAI	forest	8.4
HEW09	HEW9	HAI	forest	14.1
HEW10	HEW10	HAI	forest	23.8
HEW11	HEW11	HAI	forest	6.7
HEW12	HEW12	HAI	forest	6.4
HEW13	HEW13	HAI	forest	13.2
HEW14	HEW14	HAI	forest	6
HEW15	HEW15	HAI	forest	NA
HEW16	HEW16	HAI	forest	4.7
HEW17	HEW17	HAI	forest	8.5
HEW18	HEW18	HAI	forest	8.7
HEW19	HEW19	HAI	forest	11.1
HEW20	HEW20	HAI	forest	NA
HEW21	HEW21	HAI	forest	NA
HEW22	HEW22	HAI	forest	7.2
HEW23	HEW23	HAI	forest	10
HEW24	HEW24	HAI	forest	21
HEW25	HEW25	HAI	forest	12
HEW26	HEW26	HAI	forest	1
HEW27	HEW27	HAI	forest	9.5
HEW28	HEW28	HAI	forest	13.1
HEW29	HEW29	HAI	forest	NA
HEW30	HEW30	HAI	forest	12.1
HEW31	HEW31	HAI	forest	11.6
HEW32	HEW32	HAI	forest	10.7
HEW33	HEW33	HAI	forest	3.9
HEW34	HEW34	HAI	forest	0.9
HEW35	HEW35	HAI	forest	6.7
HEW36	HEW36	HAI	forest	2.6
HEW37	HEW37	HAI	forest	6.4
HEW38	HEW38	HAI	forest	3
HEW39	HEW39	HAI	forest	5.3
HEW40	HEW40	HAI	forest	5.9
HEW41	HEW41	HAI	forest	NA
HEW42	HEW42	HAI	forest	5.9
HEW43	HEW43	HAI	forest	6.4
HEW44	HEW44	HAI	forest	6.7
HEW45	HEW45	HAI	forest	2.3
HEW46	HEW46	HAI	forest	9.6
HEW47	HEW47	HAI	forest	11
HEW48	HEW48	HAI	forest	12.1
HEW49	HEW49	HAI	forest	4.2
HEW50	HEW50	HAI	forest	8.3
HEW51	HEW51	HAI	forest	NA
SEW01	SEW1	SCH	forest	NA
SEW02	SEW2	SCH	forest	NA
SEW03	SEW3	SCH	forest	17.6
SEW04	SEW4	SCH	forest	17.8
SEW05	SEW5	SCH	forest	16.4
SEW06	SEW6	SCH	forest	16.4
SEW07	SEW7	SCH	forest	15.8
SEW08	SEW8	SCH	forest	15.8
SEW09	SEW9	SCH	forest	14.5
SEW10	SEW10	SCH	forest	12.1
SEW11	SEW11	SCH	forest	12.7
SEW12	SEW12	SCH	forest	18.5
SEW13	SEW13	SCH	forest	15.5
SEW14	SEW14	SCH	forest	14.6
SEW15	SEW15	SCH	forest	14.4
SEW16	SEW16	SCH	forest	14.6
SEW17	SEW17	SCH	forest	14.1
SEW18	SEW18	SCH	forest	13.7
SEW19	SEW19	SCH	forest	14.9
SEW20	SEW20	SCH	forest	14.9
SEW21	SEW21	SCH	forest	14.5
SEW22	SEW22	SCH	forest	15.4
SEW23	SEW23	SCH	forest	14.6
SEW24	SEW24	SCH	forest	16.6
SEW25	SEW25	SCH	forest	16.1
SEW26	SEW26	SCH	forest	15.9
SEW27	SEW27	SCH	forest	15.9
SEW28	SEW28	SCH	forest	16.8
SEW29	SEW29	SCH	forest	15.9
SEW30	SEW30	SCH	forest	15.8
SEW31	SEW31	SCH	forest	15.8
SEW32	SEW32	SCH	forest	15.6
SEW33	SEW33	SCH	forest	16.8
SEW34	SEW34	SCH	forest	16.2
SEW35	SEW35	SCH	forest	16.1
SEW36	SEW36	SCH	forest	15.1
SEW37	SEW37	SCH	forest	NA
SEW38	SEW38	SCH	forest	15.1
SEW39	SEW39	SCH	forest	19.4
SEW40	SEW40	SCH	forest	19.4
SEW41	SEW41	SCH	forest	NA
SEW42	SEW42	SCH	forest	NA
SEW43	SEW43	SCH	forest	NA
SEW44	SEW44	SCH	forest	12.4
SEW45	SEW45	SCH	forest	NA
SEW46	SEW46	SCH	forest	NA
SEW47	SEW47	SCH	forest	11.7
SEW48	SEW48	SCH	forest	19.2
SEW49	SEW49	SCH	forest	15.8
SEW50	SEW50	SCH	forest	15.8
