Plot	Plot_bexis	Function	Value	Year	Dataset_ID	Dataset_Version
HEW14	HEW14	Ammonium_NH4	0.91	2014	19847	3
HEW13	HEW13	Ammonium_NH4	0.151	2014	19847	3
SEW16	SEW16	Ammonium_NH4	0.11	2014	19847	3
SEW17	SEW17	Ammonium_NH4	0.508	2014	19847	3
HEW15	HEW15	Ammonium_NH4	1.815	2014	19847	3
HEW28	HEW28	Ammonium_NH4	0.253	2014	19847	3
SEW15	SEW15	Ammonium_NH4	NA	2014	19847	3
HEW26	HEW26	Ammonium_NH4	0.914	2014	19847	3
HEW51	HEW51	Ammonium_NH4	NA	2014	19847	3
SEW02	SEW2	Ammonium_NH4	0.159	2014	19847	3
SEW03	SEW3	Ammonium_NH4	NA	2014	19847	3
HEW29	HEW29	Ammonium_NH4	0.525	2014	19847	3
HEW18	HEW18	Ammonium_NH4	1.995	2014	19847	3
HEW19	HEW19	Ammonium_NH4	0.327	2014	19847	3
SEW10	SEW10	Ammonium_NH4	0.143	2014	19847	3
HEW25	HEW25	Ammonium_NH4	0.557	2014	19847	3
SEW13	SEW13	Ammonium_NH4	0.153	2014	19847	3
SEW14	SEW14	Ammonium_NH4	0.154	2014	19847	3
AEW47	AEW47	Ammonium_NH4	0.234	2014	19847	3
SEW41	SEW41	Ammonium_NH4	10.768	2014	19847	3
HEW16	HEW16	Ammonium_NH4	0.673	2014	19847	3
SEW43	SEW43	Ammonium_NH4	19.245	2014	19847	3
HEW17	HEW17	Ammonium_NH4	14.548	2014	19847	3
HEW30	HEW30	Ammonium_NH4	0.57	2014	19847	3
SEW12	SEW12	Ammonium_NH4	0.13	2014	19847	3
HEW09	HEW9	Ammonium_NH4	0.73	2014	19847	3
SEW47	SEW47	Ammonium_NH4	6.209	2014	19847	3
HEW21	HEW21	Ammonium_NH4	1.604	2014	19847	3
HEW38	HEW38	Ammonium_NH4	0.169	2014	19847	3
AEW49	AEW49	Ammonium_NH4	2.228	2014	19847	3
AEW46	AEW46	Ammonium_NH4	0.254	2014	19847	3
HEW12	HEW12	Ammonium_NH4	0.34	2014	19847	3
AEW11	AEW11	Ammonium_NH4	0.13	2014	19847	3
HEW05	HEW5	Ammonium_NH4	0.513	2014	19847	3
