Plot	Plot_bexis	Function	Value	Year	Dataset_ID	Dataset_Version
AEW01	AEW1	Root_decomposition	8.1	2012	16666	2
AEW02	AEW2	Root_decomposition	10.3	2012	16666	2
AEW03	AEW3	Root_decomposition	7.6	2012	16666	2
AEW04	AEW4	Root_decomposition	12.6	2012	16666	2
AEW05	AEW5	Root_decomposition	8.3	2012	16666	2
AEW06	AEW6	Root_decomposition	9.5	2012	16666	2
AEW07	AEW7	Root_decomposition	13.6	2012	16666	2
AEW08	AEW8	Root_decomposition	9.3	2012	16666	2
AEW09	AEW9	Root_decomposition	11.4	2012	16666	2
AEW10	AEW10	Root_decomposition	9.4	2012	16666	2
AEW11	AEW11	Root_decomposition	7.5	2012	16666	2
AEW12	AEW12	Root_decomposition	9	2012	16666	2
AEW13	AEW13	Root_decomposition	12	2012	16666	2
AEW14	AEW14	Root_decomposition	10.8	2012	16666	2
AEW15	AEW15	Root_decomposition	15.7	2012	16666	2
AEW16	AEW16	Root_decomposition	13.8	2012	16666	2
AEW17	AEW17	Root_decomposition	13	2012	16666	2
AEW18	AEW18	Root_decomposition	7.7	2012	16666	2
AEW19	AEW19	Root_decomposition	17	2012	16666	2
AEW20	AEW20	Root_decomposition	10.3	2012	16666	2
AEW21	AEW21	Root_decomposition	11.4	2012	16666	2
AEW22	AEW22	Root_decomposition	11.8	2012	16666	2
AEW23	AEW23	Root_decomposition	14.5	2012	16666	2
AEW24	AEW24	Root_decomposition	8.8	2012	16666	2
AEW25	AEW25	Root_decomposition	12.4	2012	16666	2
AEW26	AEW26	Root_decomposition	8.7	2012	16666	2
AEW27	AEW27	Root_decomposition	11.7	2012	16666	2
AEW28	AEW28	Root_decomposition	6.3	2012	16666	2
AEW29	AEW29	Root_decomposition	8.8	2012	16666	2
AEW30	AEW30	Root_decomposition	10.5	2012	16666	2
AEW31	AEW31	Root_decomposition	9.3	2012	16666	2
AEW32	AEW32	Root_decomposition	12.7	2012	16666	2
AEW33	AEW33	Root_decomposition	11.9	2012	16666	2
AEW34	AEW34	Root_decomposition	12.1	2012	16666	2
AEW35	AEW35	Root_decomposition	9.3	2012	16666	2
AEW36	AEW36	Root_decomposition	22.6	2012	16666	2
AEW37	AEW37	Root_decomposition	12.5	2012	16666	2
AEW38	AEW38	Root_decomposition	10.6	2012	16666	2
AEW39	AEW39	Root_decomposition	11	2012	16666	2
AEW40	AEW40	Root_decomposition	12.1	2012	16666	2
AEW41	AEW41	Root_decomposition	9.3	2012	16666	2
AEW42	AEW42	Root_decomposition	11.1	2012	16666	2
AEW43	AEW43	Root_decomposition	10.2	2012	16666	2
AEW44	AEW44	Root_decomposition	11.8	2012	16666	2
AEW45	AEW45	Root_decomposition	12.6	2012	16666	2
AEW46	AEW46	Root_decomposition	7.3	2012	16666	2
AEW47	AEW47	Root_decomposition	13.6	2012	16666	2
AEW48	AEW48	Root_decomposition	12.6	2012	16666	2
AEW49	AEW49	Root_decomposition	NA	2012	16666	2
AEW50	AEW50	Root_decomposition	15.1	2012	16666	2
HEW01	HEW1	Root_decomposition	10	2012	16666	2
HEW02	HEW2	Root_decomposition	7.7	2012	16666	2
HEW03	HEW3	Root_decomposition	4.7	2012	16666	2
HEW04	HEW4	Root_decomposition	10	2012	16666	2
HEW05	HEW5	Root_decomposition	9.3	2012	16666	2
HEW06	HEW6	Root_decomposition	NA	2012	16666	2
HEW07	HEW7	Root_decomposition	8.1	2012	16666	2
HEW08	HEW8	Root_decomposition	8.4	2012	16666	2
HEW09	HEW9	Root_decomposition	14.1	2012	16666	2
HEW10	HEW10	Root_decomposition	23.8	2012	16666	2
HEW11	HEW11	Root_decomposition	6.7	2012	16666	2
HEW12	HEW12	Root_decomposition	6.4	2012	16666	2
HEW13	HEW13	Root_decomposition	13.2	2012	16666	2
HEW14	HEW14	Root_decomposition	6	2012	16666	2
HEW15	HEW15	Root_decomposition	NA	2012	16666	2
HEW16	HEW16	Root_decomposition	4.7	2012	16666	2
HEW17	HEW17	Root_decomposition	8.5	2012	16666	2
HEW18	HEW18	Root_decomposition	8.7	2012	16666	2
HEW19	HEW19	Root_decomposition	11.1	2012	16666	2
HEW20	HEW20	Root_decomposition	NA	2012	16666	2
HEW21	HEW21	Root_decomposition	NA	2012	16666	2
HEW22	HEW22	Root_decomposition	7.2	2012	16666	2
HEW23	HEW23	Root_decomposition	10	2012	16666	2
HEW24	HEW24	Root_decomposition	21	2012	16666	2
HEW25	HEW25	Root_decomposition	12	2012	16666	2
HEW26	HEW26	Root_decomposition	1	2012	16666	2
HEW27	HEW27	Root_decomposition	9.5	2012	16666	2
HEW28	HEW28	Root_decomposition	13.1	2012	16666	2
HEW29	HEW29	Root_decomposition	NA	2012	16666	2
HEW30	HEW30	Root_decomposition	12.1	2012	16666	2
HEW31	HEW31	Root_decomposition	11.6	2012	16666	2
