Plot	Plot_bexis	Function	Value	Year	Dataset_ID	Dataset_Version
AEW17	AEW17	ammonia_oxidizing_archaea	80400000	2016	21546	2
AEW37	AEW37	ammonia_oxidizing_archaea	237000	2016	21546	2
AEW49	AEW49	ammonia_oxidizing_archaea	3.24e+08	2016	21546	2
SEW21	SEW21	ammonia_oxidizing_archaea	1.4e+08	2016	21546	2
AEW15	AEW15	ammonia_oxidizing_archaea	915000	2016	21546	2
AEW16	AEW16	ammonia_oxidizing_archaea	5.6e+07	2016	21546	2
HEW19	HEW19	ammonia_oxidizing_archaea	1720000	2016	21546	2
SEW25	SEW25	ammonia_oxidizing_archaea	9.8e+07	2016	21546	2
AEW05	AEW5	ammonia_oxidizing_archaea	1450000	2016	21546	2
SEW08	SEW8	ammonia_oxidizing_archaea	1.01e+08	2016	21546	2
HEW20	HEW20	ammonia_oxidizing_archaea	3530000	2016	21546	2
HEW27	HEW27	ammonia_oxidizing_archaea	1.2e+07	2016	21546	2
AEW06	AEW6	ammonia_oxidizing_archaea	1350000	2016	21546	2
SEW09	SEW9	ammonia_oxidizing_archaea	9450000	2016	21546	2
HEW42	HEW42	ammonia_oxidizing_archaea	17500000	2016	21546	2
HEW18	HEW18	ammonia_oxidizing_archaea	418000	2016	21546	2
HEW45	HEW45	ammonia_oxidizing_archaea	24200000	2016	21546	2
SEW22	SEW22	ammonia_oxidizing_archaea	41900000	2016	21546	2
SEW26	SEW26	ammonia_oxidizing_archaea	1.83e+08	2016	21546	2
SEW03	SEW3	ammonia_oxidizing_archaea	1.3e+07	2016	21546	2
SEW15	SEW15	ammonia_oxidizing_archaea	55300000	2016	21546	2
HEW44	HEW44	ammonia_oxidizing_archaea	33600000	2016	21546	2
SEW27	SEW27	ammonia_oxidizing_archaea	1.98e+08	2016	21546	2
SEW20	SEW20	ammonia_oxidizing_archaea	14900000	2016	21546	2
SEW16	SEW16	ammonia_oxidizing_archaea	8730000	2016	21546	2
SEW13	SEW13	ammonia_oxidizing_archaea	18400000	2016	21546	2
SEW28	SEW28	ammonia_oxidizing_archaea	3.39e+08	2016	21546	2
HEW37	HEW37	ammonia_oxidizing_archaea	1.73e+08	2016	21546	2
AEW18	AEW18	ammonia_oxidizing_archaea	21500000	2016	21546	2
HEW26	HEW26	ammonia_oxidizing_archaea	1.2e+07	2016	21546	2
SEW36	SEW36	ammonia_oxidizing_archaea	1.66e+08	2016	21546	2
HEW46	HEW46	ammonia_oxidizing_archaea	3840000	2016	21546	2
AEW46	AEW46	ammonia_oxidizing_archaea	5330000	2016	21546	2
AEW50	AEW50	ammonia_oxidizing_archaea	5.84e+08	2016	21546	2
AEW13	AEW13	ammonia_oxidizing_archaea	6730000	2016	21546	2
SEW34	SEW34	ammonia_oxidizing_archaea	6480000	2016	21546	2
AEW01	AEW1	ammonia_oxidizing_archaea	3.69e+08	2016	21546	2
HEW36	HEW36	ammonia_oxidizing_archaea	18900000	2016	21546	2
AEW14	AEW14	ammonia_oxidizing_archaea	9510000	2016	21546	2
SEW35	SEW35	ammonia_oxidizing_archaea	35400000	2016	21546	2
SEW01	SEW1	ammonia_oxidizing_archaea	7110000	2016	21546	2
